"hns_item_name","hns_item_code","item_url","item_code","cate_code","product_code","product_name","price","score","total_comment_num","star","date","id","is_TV","comment","etc"
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,1,"2017-04-12","yh***",1,"무를수도 없고..
상품평 보고 산건데 실망스럽네요",""
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,2,"2017-04-10","wh***",1,"빠른 배송이 마음에 듭니다.
긴 머리 라 어떻게 사용 할지 고민이예요 ",""
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,5,"2017-04-07","cu***",1,"좋은 가격에 잘 구매했습니다.",""
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,5,"2017-03-26","le***",1,"클레식하고 쎄련되었어요.",""
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,5,"2017-03-22","ji***",1,"좋은 가격에 잘 구매했습니다.",""
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,2,"2017-03-21","li***",1,"짧은 머리에나 어울릴까 긴 머리 턱밑에 오는 머리는 아무소용이 없음",""
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,4,"2017-03-16","gi***",1,"너무 마음에 들어요! 추천합니다.
머리가 볼륨없어 고민중이었는데 완전해결  짱이예요",""
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,1,"2017-03-09","ey***",1,"진짜 돈이 아까워요. 짧은 머리인데도 볼륭 주려다가 머리만 더 엉망이 되요. '써보고 맘에 안들면 반품하세요' 라는 문구가 있었다면 1초도 망설임 없이 반품했겠지만, 이 상품은 개봉하면 반품이 불가하다고 하다고 하여 눈물을 머금고~",""
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,2,"2017-02-25","jy***",1,"생각보다 볼륨을 주는게 쉽지 않아요  머리가  숱이 없어서 그런지 기대 이하예요",""
"차홍헤어볼류머",3479,"http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2044869254&sectId=141253",2044869254,141253,"상품코드: 44869254","(직)차홍 헤어시스템 올 힛 헤어볼류머 최다 방송패키지","69,900",83,2095,2,"2017-02-25","dm***",1,"빠른 배송이 마음에 듭니다.",""
